note,auteur,avis,assureur,produit,day_date,day_month,day_year,avis_en,token_avis_en,vecteur_moyen,vecteur_0,vecteur_1,vecteur_2,vecteur_3,vecteur_4,vecteur_5,vecteur_6,vecteur_7,vecteur_8,vecteur_9
4,artquandciel-102341,bonne assurance auto jen suis satisfaite  en plus ils ont baissé mon tarif cette année car je nai pas eu daccident depuis longtemps je recommande,Matmut,auto,7,janvier,2021,good car insurance I am satisfied in addition they lowered my rate this year because I have not had an accident for a long time I recommend,"['good', 'car', 'insurance', 'addition', 'lowered', 'rate', 'year', 'not', 'accident', 'long', 'time']","[-0.00422322 -0.00097707 -0.01174645 -0.00245579 -0.02465312  0.02460591
  0.02228357 -0.01260269 -0.0157275  -0.0329689 ]",-0.0042232187,-0.0009770658,-0.011746446,-0.0024557903,-0.024653118,0.024605911,0.022283565,-0.012602691,-0.015727496,-0.032968897
1,bagouni-68407,assuré chez direct assurance via avanssur ma voiture nest plus assurée depuis plusieurs mois sans que jen sois informé  toujours aucunes nouvelles de ces personnes malgrès des mises en demeuresaisie du tribunal,Direct Assurance,auto,7,novembre,2018,insured with direct insurance via avanssur my car has not been insured for several months without my being informed still no news from these people despite formal notices seized by the court,"['direct', 'insurance', 'avanssur', 'car', 'not', 'several', 'still', 'news', 'formal', 'court']","[-0.011015   -0.01366394 -0.024668    0.01399984 -0.02510195  0.01813751
  0.00445562 -0.01166147 -0.00578028 -0.05120964]",-0.011014999,-0.013663942,-0.024668004,0.013999844,-0.02510195,0.01813751,0.0044556195,-0.011661465,-0.00578028,-0.05120964
2,calou-56565,un prix attractif certes puis au moment de concrétiser un contrat habitation 20min dattente au téléphone pour sentendre dire que la maaf refuse finalement dassurer lappartement que je vais louer parce que je ny serai quen semaine et que je vais rentrer le weekend en belgique,MAAF,habitation,9,août,2017,an attractive price of course then when finalizing a housing contract 20min waiting on the phone to hear that the maaf finally refuses to insure the apartment that I am going to rent because I will only be there during the week and that I am going to return to Belgium on the weekend,"['attractive', 'price', 'course', 'then', 'housing', 'contract', 'phone', 'hear', 'maaf', 'finally', 'insure', 'apartment', 'rent', 'only', 'be', 'there', 'week', 'return', 'weekend']","[ 0.01150924 -0.01632553  0.01009375 -0.01057488  0.01779766  0.01936819
  0.00898057  0.00841942  0.01855094 -0.0042666 ]",0.011509235,-0.016325528,0.010093752,-0.010574877,0.017797662,0.019368187,0.008980574,0.0084194215,0.018550938,-0.004266596
1,yass-65605,il sont très long pour les paiements lors dun sinistre  2 mois  de mauvaise foi il nhésite pas à raccrochez au nez des clients,L'olivier Assurance,auto,19,juillet,2018,they are very long for payments during a disaster 2 months of bad faith he does not hesitate to hang up on customers,"['very', 'long', 'disaster', 'bad', 'faith', 'not', 'hesitate', 'hang']","[-0.02540688  0.0067181   0.02345018  0.01681915  0.00363201  0.04835231
 -0.00143603 -0.00617597  0.01491362 -0.04864867]",-0.02540688,0.0067180973,0.023450185,0.016819147,0.0036320067,0.04835231,-0.0014360324,-0.0061759665,0.014913622,-0.048648667
1,fleur33-67367,jamais vu ça la pire assurance que jai eut en vingt ans pendant la pandémie impossible de les joindre une expertise annulée mest quand  même comptee de façon négative et lexpert sest payé je vais peut être voir un avocat un scandale,GMF,habitation,6,janvier,2021,never seen this the worst insurance I've had in twenty years during the pandemic impossible to reach them a canceled expertise is still counted negatively to me and the expert has paid himself I may be going to see a lawyer a scandal,"['never', 'insurance', 'had', 'twenty', 'pandemic', 'impossible', 'reach', 'canceled', 'expertise', 'still', 'negatively', 'expert', 'be', 'see', 'lawyer', 'scandal']","[ 0.02649119 -0.00214005  0.00480904  0.01867727 -0.01168026  0.00578341
  0.00589904  0.00084662  0.00330719 -0.02255218]",0.026491191,-0.002140049,0.0048090387,0.01867727,-0.01168026,0.0057834145,0.0058990363,0.0008466225,0.003307194,-0.022552175
3,kamel-b-108579,je suis suffisant satisfait de vos prestations plus de dix ans chez vous et jamais de sinistres responsables malheureusement  mon bon comportement routier ne se reporte pas sur le prix des mes assurances,Direct Assurance,auto,30,mars,2021,I am sufficiently satisfied with your services for more than ten years with you and never responsible claims unfortunately my good road behavior does not relate to the price of my insurance,"['sufficiently', 'never', 'responsible', 'unfortunately', 'good', 'road', 'behavior', 'not', 'relate', 'price', 'insurance']","[-0.00640926 -0.01086785 -0.01868155 -0.01006701 -0.03679823  0.00694877
  0.00610498 -0.02564243 -0.01984785 -0.00850613]",-0.006409257,-0.010867846,-0.018681554,-0.01006701,-0.03679823,0.0069487663,0.0061049755,-0.025642432,-0.019847853,-0.008506131
5,hamza-m-123043,je suis très content du prix et des garanties proposées  je recommande fortement avril car après plusieurs devis jai enfin trouver les garanties que je cherchais,APRIL Moto,moto,10,juillet,2021,I am very happy with the price and the guarantees offered I strongly recommend Avril because after several quotes I finally found the guarantees I was looking for,"['very', 'happy', 'price', 'offered', 'strongly', 'several', 'finally', 'found', 'was']","[ 0.0068375  -0.00268956 -0.02585674 -0.01142403  0.03124064  0.0443302
  0.03605976 -0.0183968   0.01090458  0.00739615]",0.006837505,-0.0026895576,-0.025856739,-0.011424026,0.031240642,0.0443302,0.036059756,-0.018396799,0.010904576,0.0073961467
2,faiz-109152,les informations ne sont pas communiquer de façon clair des éléments ne vous sont communiquer quaprés souscriprion et validation du paiement temps dattente extrêmement long et conseiller incompétents assurance a fuire absolument,Direct Assurance,auto,5,avril,2021,the information is not communicated clearly elements are only communicated to you after subscription and validation of payment extremely long waiting time and incompetent adviser insurance to flee absolutely,"['information', 'not', 'clearly', 'only', 'subscription', 'validation', 'payment', 'extremely', 'long', 'time', 'incompetent', 'adviser', 'insurance', 'flee', 'absolutely']","[-0.01352401 -0.0184178  -0.012473   -0.01004578  0.00716758  0.01096648
  0.03288102 -0.02032341 -0.00615372  0.01156618]",-0.013524007,-0.018417798,-0.012473004,-0.010045783,0.007167582,0.010966482,0.032881018,-0.020323405,-0.006153724,0.011566176
5,cyrille-g-132795,souscription par téléphone rapide linterlocuteur ma aidé au téléphone tout au long de la démarche de a à z ce qui était très agréable et rassurant,AMV,moto,14,septembre,2021,quick phone subscription the contact helped me on the phone throughout the process from a to z which was very pleasant and reassuring,"['quick', 'phone', 'subscription', 'contact', 'helped', 'process', 'z', 'was', 'very', 'pleasant']","[ 0.01721869 -0.00447802  0.03444139  0.00250493  0.00159037 -0.008788
 -0.00726782 -0.01509056 -0.00067815 -0.00859868]",0.017218692,-0.004478025,0.03444139,0.0025049318,0.0015903742,-0.008788,-0.0072678206,-0.015090564,-0.0006781515,-0.008598676
4,jean-louis-g-108106,très rapports et réactivité prise en charge rapide je suis particulièrement satisfait de mes contrats auto et habitation très bonne couverture les contacts téléphoniques sont très courtois et la réactivité par rapport aux problèmes accompagné dexplications très claires,Direct Assurance,auto,26,mars,2021,very good reports and responsiveness fast support I am particularly satisfied with my car and home contracts very good coverage telephone contacts are very courteous and responsiveness to problems accompanied by very clear explanations,"['very', 'good', 'responsiveness', 'fast', 'support', 'particularly', 'car', 'home', 'coverage', 'telephone', 'courteous', 'clear']","[-0.0054217   0.01128861  0.01770998 -0.02302985  0.02117733  0.01281181
  0.0295484  -0.00380526  0.02802584  0.00648465]",-0.005421702,0.011288613,0.017709978,-0.023029847,0.021177327,0.0128118135,0.029548405,-0.0038052627,0.028025836,0.0064846477
2,misteraudi-60413,entre loffre faite sur le site dassurland et la propo que lon vous fait il y a une différence de tarif importanteon vous dit au téléphone que loffre internet est faite pour appâter le nouveau client et que lannée daprès le tarif sera le même que celui que lon me propose,Direct Assurance,auto,12,janvier,2018,between the offer made on the assurland site and the offer that we make to you there is a significant difference in price we tell you on the phone that the internet offer is made to lure the new customer and that the year after the price will be the same as the one we give me offers,"['offer', 'assurland', 'site', 'significant', 'difference', 'price', 'phone', 'internet', 'lure', 'new', 'customer', 'year', 'be', 'same']","[-0.00349109  0.00523841  0.00488976  0.01065525  0.02778697  0.001372
 -0.01656465  0.01608858  0.01826646 -0.01275932]",-0.0034910925,0.0052384147,0.0048897564,0.0106552495,0.02778697,0.0013720037,-0.01656465,0.016088584,0.018266456,-0.012759323
4,rosunally-f-133751,tres satisfait du prix et le contacte telephonique excellent explication tres claire a recommander a mes proche et mon entourage je vous remerci davance,L'olivier Assurance,auto,21,septembre,2021,very satisfied with the price and the excellent telephone contact very clear explanation to recommend to my relatives and my entourage thank you in advance,"['very', 'satisfied', 'price', 'excellent', 'telephone', 'contact', 'clear', 'explanation', 'recommend', 'entourage', 'thank', 'advance']","[-0.03923012  0.0060238  -0.01548771 -0.02943883  0.02002164  0.01281834
  0.01398541 -0.01961065  0.00652204  0.01487935]",-0.03923012,0.0060237995,-0.015487708,-0.029438825,0.020021638,0.012818337,0.013985411,-0.019610645,0.0065220403,0.014879351
4,riviere-a-130975,bon rapport qualité prix bonne réactivité bon contact avec les chargés de clientèle lassurance lolivier a su être réactif en cas de sinistre ras,L'olivier Assurance,auto,2,septembre,2021,good value for money good responsiveness good contact with customer service managers lolivier insurance was able to be responsive in the event of a disaster,"['good', 'value', 'money', 'responsiveness', 'contact', 'customer', 'service', 'insurance', 'was', 'able', 'be', 'responsive', 'event', 'disaster']","[-7.9315724e-03  6.6221445e-03  8.2218628e-03 -2.4256010e-03
 -3.0604356e-03  9.9240942e-03  3.1549819e-02 -1.5165208e-02
  8.4937681e-05 -2.3972709e-02]",-0.007931572,0.0066221445,0.008221863,-0.002425601,-0.0030604356,0.009924094,0.03154982,-0.015165208,8.493768e-05,-0.023972709
5,david-d-133789,satisfait super service client assurance pas cher parfait je suis satisfait de direct assurance cest une très bonne assurance je vous remercie de votre réactivité je suis entièrement satisfait,Direct Assurance,auto,21,septembre,2021,satisfied super customer service cheap insurance perfect I am satisfied with direct insurance it is a very good insurance thank you for your responsiveness I am completely satisfied,"['satisfied', 'super', 'customer', 'service', 'cheap', 'insurance', 'perfect', 'direct', 'very', 'good', 'thank', 'responsiveness', 'completely']","[-0.01112267  0.01051028  0.01227899 -0.03541778  0.00994437 -0.02853631
  0.00582744 -0.03565051 -0.00042748  0.00840633]",-0.011122669,0.010510281,0.01227899,-0.035417784,0.009944375,-0.028536312,0.005827437,-0.035650507,-0.0004274848,0.008406328
5,raphael-b-125952,prix très correct par rapport aux autres compagnies dassurance avec les mêmes garanties conseiller rapide et efficace je recommande pour les motards,APRIL Moto,moto,2,août,2021,very correct price compared to other insurance companies with the same guarantees quick and efficient adviser I recommend for bikers,"['very', 'correct', 'price', 'other', 'insurance', 'same', 'quick', 'efficient', 'adviser']","[ 0.02405131  0.00312748  0.00336668 -0.01457218  0.00161476 -0.01690753
  0.02055904  0.00440007 -0.01838388 -0.01493019]",0.02405131,0.0031274771,0.00336668,-0.014572175,0.00161476,-0.016907526,0.020559043,0.004400073,-0.018383885,-0.0149301905
1,tnyz13-69232,bientôt 2 mois que j attend un remboursement les mails sont sans sans suite j ai téléphoné 3 fois 3 fois qu ils me disent qu ils s en occupe mais rien  je pensais me réinscrire chez eux une fois mon contrat terminé mais là ça va être compliqué,Ag2r La Mondiale,sante,7,décembre,2018,almost 2 months that I am waiting for a refund the emails are without result I have called 3 times 3 times that they tell me that they take care of it but nothing I thought of re-registering with them once my contract is finished but there it will be complicated,"['almost', 'refund', 'result', 'care', 'nothing', 'thought', 're-registering', 'once', 'contract', 'be']","[ 0.0144728   0.01258141  0.00462672  0.01297774  0.01884962 -0.00826321
 -0.02094401  0.01011193 -0.01171043 -0.01916398]",0.014472802,0.012581408,0.004626719,0.0129777435,0.018849617,-0.008263213,-0.020944012,0.010111931,-0.011710433,-0.019163985
4,fortes-gomes-j-117541,je suis satisfait du service les prestations proposées sont très intéressantes la conseillère a été très bien et ma tout bien expliqué je recommanderais,L'olivier Assurance,auto,18,juin,2021,I am satisfied with the service the services offered are very interesting the advisor was very good and explained everything well I would recommend,"['satisfied', 'service', 'very', 'advisor', 'was', 'good', 'explained', 'everything', 'well', 'recommend']","[-0.01167738  0.01955725  0.02584991  0.00457727  0.02072241  0.01073562
 -0.00709515 -0.02617563  0.00750668  0.02206085]",-0.011677379,0.01955725,0.025849909,0.004577271,0.020722413,0.010735624,-0.0070951493,-0.02617563,0.007506681,0.022060845
4,isabelle-a-130772,satisfaite des services et facilité de contact gestion  clarté des conditions  tarifs compétitifs aux autres offres   sollicitation des conseillers bienveillante et non intrusive,GMF,auto,2,septembre,2021,satisfied with the services and ease of contact management clarity of the conditions competitive prices with other offers solicitation of benevolent and non-intrusive advisors,"['ease', 'contact', 'management', 'clarity', 'competitive', 'other', 'solicitation', 'benevolent', 'non-intrusive']","[-0.01229807 -0.01393541 -0.05416879 -0.01128618 -0.02795802 -0.006451
  0.01472295 -0.01515569 -0.01523388 -0.023889  ]",-0.012298066,-0.01393541,-0.054168787,-0.011286181,-0.027958022,-0.006451001,0.014722947,-0.015155686,-0.015233885,-0.023888998
5,sogorb-p-114915,excellent rapport qualitéprix et le service client est rapide et performant jespère que cet avis sera confirmé si daventure un sinistre devait arriver,L'olivier Assurance,auto,26,mai,2021,excellent value for money and the customer service is fast and efficient I hope that this opinion will be confirmed if by chance a claim were to occur,"['excellent', 'value', 'money', 'customer', 'service', 'fast', 'efficient', 'opinion', 'be', 'chance', 'claim', 'were', 'occur']","[-0.02949827  0.01622595  0.00583878 -0.01597569  0.00842981 -0.00519017
 -0.01941767 -0.00156608  0.00099113 -0.01565973]",-0.029498272,0.01622595,0.005838776,-0.015975693,0.008429811,-0.005190171,-0.019417671,-0.0015660754,0.0009911321,-0.015659733
5,alan--m-124302,nickel et rapide je recommande vivement cette assurance je les trouvais grâce un forum de recherche et jai déjà été assuré au par avant et je nes jamais eu aucun soucis,APRIL Moto,moto,22,juillet,2021,nickel and fast I highly recommend this insurance I found them thanks to a search forum and I have already been insured before and I never had any worries,"['nickel', 'fast', 'highly', 'insurance', 'found', 'search', 'forum', 'already', 'never', 'had']","[ 0.03294645  0.01064305 -0.02389587 -0.0011016   0.00023083 -0.00160895
  0.00822651 -0.01681848 -0.02319452  0.01677826]",0.032946445,0.010643054,-0.02389587,-0.0011016019,0.00023082682,-0.0016089467,0.008226511,-0.016818482,-0.023194516,0.016778264
5,adam-c-116470,je suis satisfait du services les prix sont honorables merci bcp april moto je vais conseiller cette assurance à mon entourage je vais ensuite la conseiller également à mon amie qui a le même 2 roues que moi,APRIL Moto,moto,9,juin,2021,I am satisfied with the services the prices are honorable thank you very much april moto I will recommend this insurance to those around me I will then also recommend it to my friend who has the same 2 wheels as me,"['satisfied', 'honorable', 'thank', 'very', 'much', 'moto', 'recommend', 'insurance', 'then', 'also', 'friend', 'same']","[-0.00884514  0.01616766 -0.02478147 -0.02581888  0.01449474 -0.02667571
 -0.01966419 -0.0198112   0.00018938  0.01324643]",-0.00884514,0.016167663,-0.024781471,-0.025818884,0.014494742,-0.02667571,-0.01966419,-0.019811198,0.0001893757,0.013246435
4,coillard-b-139621,tarifs parmi les meilleurs du marché simplicité de la procédure par internet plus quà voir pour la prise en charge en cas de sinistre pour linstant que du,L'olivier Assurance,auto,15,novembre,2021,prices among the best on the market simplicity of the procedure by internet more than to see for the assumption of responsibility in the event of disaster for the moment that,"['market', 'simplicity', 'procedure', 'internet', 'see', 'assumption', 'responsibility', 'event', 'disaster', 'moment']","[-0.00629105  0.01329068 -0.00205128  0.04797167  0.00305502  0.0235926
  0.01248675  0.01694879  0.02580227 -0.00389062]",-0.006291052,0.013290676,-0.0020512752,0.047971673,0.0030550235,0.023592595,0.012486747,0.016948786,0.02580227,-0.0038906198
5,divies-t-138040,le service est satisfaisant les conseillées sont à lécoute et on pu répondre à mes problématiques sans problèmes et ceci dans les plus bref délais merci,L'olivier Assurance,auto,22,octobre,2021,the service is satisfactory the advisers are attentive and they were able to answer my problems without problems and this in the shortest possible time thank you,"['service', 'satisfactory', 'attentive', 'were', 'able', 'answer', 'possible', 'time', 'thank']","[-0.00754528 -0.00254493  0.02044383 -0.01460151  0.00603999 -0.01296519
  0.01709396 -0.02463828 -0.00602629 -0.01644068]",-0.0075452793,-0.0025449311,0.020443829,-0.01460151,0.00603999,-0.012965192,0.017093964,-0.024638278,-0.0060262913,-0.01644068
2,valounette02-76041,a fuir résilié en 30 secondes pour une simple question rien ne vaut le petit assureur du quartier avoir un vrai humain en face de soi de nos jours ça na pas de prix,Eurofil,auto,18,mai,2019,to flee terminated in 30 seconds for a simple question nothing beats the small insurer in the neighborhood having a real human in front of you these days is priceless,"['flee', 'simple', 'question', 'nothing', 'small', 'insurer', 'neighborhood', 'real', 'human', 'front', 'priceless']","[-0.01365304 -0.00637474  0.01780229 -0.00285377 -0.01263054 -0.01680624
 -0.00245914 -0.00907178  0.03130597  0.01240643]",-0.013653037,-0.0063747438,0.017802292,-0.0028537714,-0.012630537,-0.016806237,-0.0024591365,-0.009071776,0.031305972,0.012406427
5,renata-c-123990,je suis satisfaite du prix proposer le conseiller est a mon ecoute maintenant reste plus qu  a croiser les doigts pour que tout se passe bien en cas d imprevu qui je l espere n arrivera jamais,Zen'Up,credit,20,juillet,2021,I am satisfied with the price offered the adviser is listening to me now all that remains is to cross my fingers so that everything goes well in the event of an unforeseen event which I hope will never happen,"['satisfied', 'price', 'offered', 'adviser', 'now', 'cross', 'so', 'everything', 'well', 'event', 'unforeseen', 'never', 'happen']","[-0.00646523  0.01795608 -0.01929458 -0.01132172  0.02421333 -0.00905504
 -0.00835088 -0.00906274  0.01832862  0.02590032]",-0.0064652334,0.017956078,-0.019294582,-0.011321715,0.024213327,-0.009055036,-0.008350882,-0.009062737,0.018328618,0.025900321
4,helene-u-106024,nous sommes plutôt satisfait du service qui est plutôt rapide merci beaucoup  très accessible visuellement en plus de cela étant dans laccessibilité numérique ca me fait plaisir,Direct Assurance,auto,9,mars,2021,we are rather satisfied with the service which is rather fast thank you very much very visually accessible in addition to that being in digital accessibility it makes me happy,"['rather', 'satisfied', 'service', 'fast', 'thank', 'very', 'much', 'visually', 'accessible', 'addition', 'digital', 'accessibility', 'happy']","[-0.01450416  0.00686091 -0.0079594  -0.03748787  0.01958464 -0.01399914
 -0.01524902 -0.01158414  0.01430813 -0.00780679]",-0.0145041635,0.0068609146,-0.007959404,-0.03748787,0.019584643,-0.013999139,-0.015249023,-0.011584141,0.014308127,-0.0078067896
5,ploufi-76048,assurance qui ma toujours donné entière satisfaction depuis près de 40 ans les prix sont parfaitement justifié au regard de la qualité de la garantie,MAIF,auto,18,mai,2019,insurance which has always given me complete satisfaction for almost 40 years the prices are perfectly justified with regard to the quality of the guarantee,"['insurance', 'always', 'complete', 'satisfaction', 'almost', 'perfectly', 'regard', 'quality', 'guarantee']","[ 0.01322257 -0.04544033  0.00041587 -0.02306629  0.01668326 -0.03675757
 -0.00055449 -0.02475416 -0.01132158 -0.02604703]",0.013222569,-0.045440327,0.00041587238,-0.023066292,0.01668326,-0.036757566,-0.00055449415,-0.02475416,-0.011321579,-0.026047029
4,nicolas-w-134898,amv est une très bonne assurance qui indemnise rapidement de plus le site est clair je reste donc fidèle à la société et comme toute assurance cest toujours trop cher,AMV,moto,28,septembre,2021,amv is a very good insurance which compensates quickly moreover the site is clear I therefore remain faithful to the company and like any insurance it is always too expensive,"['amv', 'very', 'good', 'insurance', 'quickly', 'moreover', 'site', 'clear', 'faithful', 'company', 'always', 'too', 'expensive']","[-0.00209556 -0.01539232  0.02977093  0.00750999  0.01019822 -0.01645425
 -0.00066119  0.00503374 -0.03400182  0.01507546]",-0.0020955629,-0.015392324,0.02977093,0.0075099915,0.0101982225,-0.016454253,-0.0006611854,0.005033736,-0.034001816,0.015075456
4,boulaire-j-114622,plutôt simple et pratique  bonne assurance pour un jeune conducteur je suis satisfait mais peut être que les 150 caractères sont un peu trop élevés,L'olivier Assurance,auto,23,mai,2021,rather simple and practical good insurance for a young driver I am satisfied but maybe the 150 characters are a little too long,"['rather', 'simple', 'practical', 'good', 'insurance', 'young', 'driver', 'satisfied', 'maybe', 'little', 'too', 'long']","[ 0.0013957  -0.03463166  0.01675458  0.00364931 -0.00913559  0.01673126
  0.02038771  0.00715651  0.01340092  0.01272235]",0.0013957036,-0.034631662,0.016754577,0.0036493146,-0.009135593,0.01673126,0.020387705,0.0071565076,0.013400924,0.012722353
5,spicher-c-126383,très bon accueil téléphonique a chaque fois très bien renseignétoujours très bien dirigé dans nos démarches avec de bonnes et claires explications,L'olivier Assurance,auto,4,août,2021,very good telephone reception always very well informed always very well directed in our steps with good and clear explanations,"['very', 'good', 'telephone', 'reception', 'always', 'well', 'clear']","[-0.062387    0.00419433  0.06061818 -0.01665463  0.01690958  0.01523225
 -0.00070555 -0.00442637 -0.00236817  0.00939094]",-0.062387,0.0041943286,0.060618185,-0.01665463,0.016909575,0.015232247,-0.0007055498,-0.0044263736,-0.0023681733,0.00939094
